cancer_type&cancer_type_detailed	final_tissue	study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
Thyroid CancerPapillary Thyroid Cancer	Thyroid	msk_impact_2017	Thyroid Cancer	Papillary Thyroid Cancer	msk	NA
Thyroid CancerPoorly Differentiated Thyroid Cancer	Thyroid	msk_impact_2017	Thyroid Cancer	Poorly Differentiated Thyroid Cancer	msk	NA
Thyroid CancerPoorly Differentiated Thyroid Carcinoma	Thyroid	thyroid_mskcc_2016	Thyroid Cancer	Poorly Differentiated Thyroid Carcinoma	thyroid	Thyroid
Thyroid Cancerthca_tcga	Thyroid	thca_tcga	Thyroid Cancer	thca_tcga	thca	NA
Thyroid CancerWell-Differentiated Thyroid Cancer	Thyroid	thca_tcga	Thyroid Cancer	Well-Differentiated Thyroid Cancer	thca	NA
Undifferentiated Stomach AdenocarcinomaSignet Ring Cell Carcinoma of the Stomach	Esophagus/Stomach	stad_tcga_pan_can_atlas_2018	Undifferentiated Stomach Adenocarcinoma	Signet Ring Cell Carcinoma of the Stomach	stad	Stomach Adenocarcinoma
Uterine SarcomaEndometrial Stromal Sarcoma	Uterus	msk_impact_2017	Uterine Sarcoma	Endometrial Stromal Sarcoma	msk	NA
Uterine SarcomaHigh-Grade Endometrial Stromal Sarcoma	Uterus	msk_impact_2017	Uterine Sarcoma	High-Grade Endometrial Stromal Sarcoma	msk	NA
Uterine SarcomaLow-Grade Endometrial Stromal Sarcoma	Uterus	msk_impact_2017	Uterine Sarcoma	Low-Grade Endometrial Stromal Sarcoma	msk	NA
Uterine SarcomaUndifferentiated Uterine Sarcoma	Uterus	msk_impact_2017	Uterine Sarcoma	Undifferentiated Uterine Sarcoma	msk	NA
Uterine SarcomaUterine Adenosarcoma	Uterus	msk_impact_2017	Uterine Sarcoma	Uterine Adenosarcoma	msk	NA
Uterine SarcomaUterine Epithelioid Leiomyosarcoma	Uterus	msk_impact_2017	Uterine Sarcoma	Uterine Epithelioid Leiomyosarcoma	msk	NA
Uterine SarcomaUterine Leiomyosarcoma	Uterus	sarc_tcga_pub	Uterine Sarcoma	Uterine Leiomyosarcoma	sarc	NA
Uterine SarcomaUterine Myxoid Leiomyosarcoma	Uterus	msk_impact_2017	Uterine Sarcoma	Uterine Myxoid Leiomyosarcoma	msk	NA
Uterine SarcomaUterine Perivascular Epithelioid Cell Tumor	Uterus	msk_impact_2017	Uterine Sarcoma	Uterine Perivascular Epithelioid Cell Tumor	msk	NA
Uterine SarcomaUterine Sarcoma, Other	Uterus	msk_impact_2017	Uterine Sarcoma	Uterine Sarcoma, Other	msk	NA
Uterine SarcomaUterine Smooth Muscle Tumor of Uncertain Malignant Potential	Uterus	msk_impact_2017	Uterine Sarcoma	Uterine Smooth Muscle Tumor of Uncertain Malignant Potential	msk	NA
Vaginal CancerSquamous Cell Carcinoma of the Vulva/Vagina	Skin	msk_impact_2017	Vaginal Cancer	Squamous Cell Carcinoma of the Vulva/Vagina	msk	NA
Well-Differentiated Thyroid CancerPapillary Thyroid Cancer	Thyroid	thca_tcga_pan_can_atlas_2018	Well-Differentiated Thyroid Cancer	Papillary Thyroid Cancer	thca	NA
Wilms TumorWilms' Tumor	Kidney	msk_impact_2017	Wilms Tumor	Wilms' Tumor	msk	NA
Wilms' tumors B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Wilms' tumors	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
