cancer_type&cancer_type_detailed	final_tissue	study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
Esophagogastric CancerDiffuse Type Stomach Adenocarcinoma	Esophagus/Stomach	msk_impact_2017	Esophagogastric Cancer	Diffuse Type Stomach Adenocarcinoma	msk	NA
Esophagogastric CancerEsophageal Adenocarcinoma	Esophagus/Stomach	esca_broad	Esophagogastric Cancer	Esophageal Adenocarcinoma	esca	Esophageal Adenocarcinoma
Esophagogastric CancerEsophageal Poorly Differentiated Carcinoma	Esophagus/Stomach	msk_impact_2017	Esophagogastric Cancer	Esophageal Poorly Differentiated Carcinoma	msk	NA
Esophagogastric CancerEsophageal Squamous Cell Carcinoma	Esophagus/Stomach	esca_tcga	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	esca	Esophageal Adenocarcinoma
Esophagogastric CancerEsophagogastric Adenocarcinoma	Esophagus/Stomach	msk_impact_2017	Esophagogastric Cancer	Esophagogastric Adenocarcinoma	msk	NA
Esophagogastric CancerIntestinal Type Stomach Adenocarcinoma	Esophagus/Stomach	msk_impact_2017	Esophagogastric Cancer	Intestinal Type Stomach Adenocarcinoma	msk	NA
Esophagogastric CancerMucinous Stomach Adenocarcinoma	Esophagus/Stomach	msk_impact_2017	Esophagogastric Cancer	Mucinous Stomach Adenocarcinoma	msk	NA
Esophagogastric CancerPapillary Stomach Adenocarcinoma	Esophagus/Stomach	stad_tcga	Esophagogastric Cancer	Papillary Stomach Adenocarcinoma	stad	Stomach Adenocarcinoma
Esophagogastric CancerPoorly Differentiated Carcinoma of the Stomach	Esophagus/Stomach	msk_impact_2017	Esophagogastric Cancer	Poorly Differentiated Carcinoma of the Stomach	msk	NA
Esophagogastric CancerSignet Ring Cell Carcinoma of the Stomach	Esophagus/Stomach	msk_impact_2017	Esophagogastric Cancer	Signet Ring Cell Carcinoma of the Stomach	msk	NA
Esophagogastric CancerStomach Adenocarcinoma	Esophagus/Stomach	msk_impact_2017	Esophagogastric Cancer	Stomach Adenocarcinoma	msk	NA
Esophagogastric CancerTubular Stomach Adenocarcinoma	Esophagus/Stomach	msk_impact_2017	Esophagogastric Cancer	Tubular Stomach Adenocarcinoma	msk	NA
Ewing's sarcoma B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	pediatric_dkfz_2017	Ewing's sarcoma	 B-Lymphoblastic Leukemia/Lymphoma	pediatric	NA
Fibrolamellar CarcinomaFibrolamellar Carcinoma	Liver	lihc_tcga_pan_can_atlas_2018	Fibrolamellar Carcinoma	Fibrolamellar Carcinoma	lihc	NA
